brand,name,tag,sex,price,size,view,buy,like,review,url
브랜즈,[프리미엄] 제너럴 독일군 5cm 키높이 스니커즈,"['슈즈', '스니커즈', '독일군', '브랜즈독일군', '스니커즈추천', '마르지엘라독일군', '스웨이드']",남성,"119,700원","['270(2개남음)', '275(2개남음)', '280(2개남음)']",1.1천 회 이상,250 개 이상,892,470,https://www.musinsa.com/app/goods/2168084
브랜즈,로우 레더 러너 시즌 2 - 네이비,"['독일군러너', '브랜즈독일군', '러너', '네이비', '키높이', '스웨이드', '소가죽', '로우레더러너', '레더']",남성,"135,150원",['280(3개남음)'],1.9천 회 이상,200 개 이상,"1,729",256,https://www.musinsa.com/app/goods/1856840
엘에이알,EARTH 친환경 스니커즈 화이트,"['스니커즈', '친환경', '커플신발', '화이트', 'LAR', '봄코디', '업사이클링', '스니커즈컬렉션']","남성, 여성","89,000원","['230', '240', '250', '260', '270', '280']",750 회 이상,250 개 이상,"1,801",552,https://www.musinsa.com/app/goods/1416732
식스핏,[무료반품] 1IN WHITE - 화이트 스니커즈,"['남자스니커즈', '키높이스니커즈', '가죽스니커즈', '스탠다드', '브랜드위크', '베스트인기상품', '스니커즈추천', '무지']",,"74,000원","['225', '235', '240', '245', '250', '260', '265', '270', '275', '280', '285(2개남음)']",4.0천 회 이상,1.6천 개 이상,"9,797","4,757",https://www.musinsa.com/app/goods/1353454
디스커버리 익스페디션,[무료반품] 레스터 QT (WHITE),"['디스커버리신발', '디스커버리방한화', '디스커버리패딩슬리퍼', '디스커버리슬라이드', '패딩슬리퍼', '겨울슬리퍼', '겨울신발', '윈터슈즈']","남성, 여성","89,000원","['250', '260', '270', '280']",4.0천 회 이상,150 개 이상,"2,118",79,https://www.musinsa.com/app/goods/2788373
슈펜,[초경량] 논슬립 리커버리 슈레이스 워킹화 HPCR5DA21M,"['운동화', '운동화추천', '워킹화', '런닝화', '핑크', '핑크스니커즈']",,"39,900원","[{'(10)WHITE(품절)': []}, {'(15)GRAY(품절)': []}, {'(19)BLACK': ['270(2개 남음)']}, {'(26)LIGHTPINK(품절)': []}, {'(36)LIGHTBEIGE(품절)': []}, {'(26)LIGHT': ['230(2개 남음)', '240']}, {'(36)LIGHT': []}, {'(17)DARK': ['230', '240', '250', '260', '270']}, {'(35)BEIGE': ['230', '240', '250']}]",1.5천 회 이상,300 개 이상,410,64,https://www.musinsa.com/app/goods/3070312
23.65,PLICO 2-PACK,"['캔버스', '캐주얼운동화', '스니커즈', '신발']","남성, 여성","59,900원","['230', '240', '250', '260', '270', '280', '230', '240', '250', '260', '270', '280', '240', '250', '260', '270', '280', '230', '240', '250', '260', '270', '280', '240', '250', '260', '270', '280']",3.7천 회 이상,450 개 이상,"1,256",88,https://www.musinsa.com/app/goods/3418298
미즈노,WAVE RIDER 10_D1GA210407,['WAVERIDER10'],"남성, 여성","159,000원","[{'07_White/Silver/Teal': ['280', '285', '290(2개 남음)']}]",1.4천 회 이상,150 개 이상,734,61,https://www.musinsa.com/app/goods/3352719
살로몬 스포츠스타일,XT-6 - 그라니트 그린:아쿠아:블레이징 오렌지 / L47148100,"['XT-6', '살로몬XT-6', '스니커즈', '런닝화', '트레킹화', '퀵레이스', '데일리슈즈', '편한신발', 'PLUS배송', '플러스배송']","남성, 여성","260,000원","['235(2개남음)', '245', '250(3개남음)', '255', '260', '265', '270', '275', '280', '285', '290', '295', '300(2개남음)']",1.6천 회 이상,200 개 이상,"1,476",103,https://www.musinsa.com/app/goods/3023102
리복,라이더 5 - 블랙 / GZ3112,[],"남성, 여성","59,000원","['230(2개남음)', '235(4개남음)', '250(마지막1개)', '260(4개남음)', '265', '270(3개남음)', '275(마지막1개)']",1.6천 회 이상,300 개 이상,495,73,https://www.musinsa.com/app/goods/2973706
